Year,Area of residence (subjected to violence),Sex (subjected to violence),Age group (subjected to violence),Disability (subjected to violence),"Number of neglected children, at the end of the year",Area of residence (neglected),Sex (neglected),Age group (neglected),Disability (neglected),Value
2014,,,,,,Rural,,,,
2014,,,,,,,Fete,,,
2014,,,,,,,Băieți,,,
2014,,,,,,,,0-2 ani,,
2014,,,,,,,,3-6 ani,,
2014,,,,,,,,7-15 ani,,
2014,,,,,,,,16-17 ani,,
2014,,,,,,,,,With disabilities,
2015,,,,,,,,,,
2015,Urban,,,,,,,,,
2015,Rural,,,,,,,,,
2015,,Girls,,,,,,,,
2015,,Boys,,,,,,,,
2015,,,0-2 years,,,,,,,
2015,,,3-6 years,,,,,,,
2015,,,7-15 years,,,,,,,
2015,,,16-17 years,,,,,,,
2015,,,,With disabilities,,,,,,
2015,,,,,Total,,,,,
2015,,,,,,Urban,,,,
2015,,,,,,Rural,,,,
2015,,,,,,,Fete,,,
2015,,,,,,,Băieți,,,
2015,,,,,,,,0-2 ani,,
2015,,,,,,,,3-6 ani,,
2015,,,,,,,,7-15 ani,,
2015,,,,,,,,16-17 ani,,
2015,,,,,,,,,With disabilities,
2016,,,,,,,,,,
2016,Urban,,,,,,,,,
2016,Rural,,,,,,,,,
2016,,Girls,,,,,,,,
2016,,Boys,,,,,,,,
2016,,,0-2 years,,,,,,,
2016,,,3-6 years,,,,,,,
2016,,,7-15 years,,,,,,,
2016,,,16-17 years,,,,,,,
2016,,,,With disabilities,,,,,,
2016,,,,,Total,,,,,
2016,,,,,,Urban,,,,
2016,,,,,,Rural,,,,
2016,,,,,,,Fete,,,
2016,,,,,,,Băieți,,,
2016,,,,,,,,0-2 ani,,
2016,,,,,,,,3-6 ani,,
2016,,,,,,,,7-15 ani,,
2016,,,,,,,,16-17 ani,,
2016,,,,,,,,,With disabilities,
2017,,,,,,,,,,
2017,Urban,,,,,,,,,
2017,Rural,,,,,,,,,
2017,,Girls,,,,,,,,
2017,,Boys,,,,,,,,
2017,,,0-2 years,,,,,,,
2017,,,3-6 years,,,,,,,
2017,,,7-15 years,,,,,,,
2017,,,16-17 years,,,,,,,
2017,,,,With disabilities,,,,,,
2017,,,,,Total,,,,,
2017,,,,,,Urban,,,,
2017,,,,,,Rural,,,,
2017,,,,,,,Fete,,,
2017,,,,,,,Băieți,,,
2017,,,,,,,,0-2 ani,,
2017,,,,,,,,3-6 ani,,
2017,,,,,,,,7-15 ani,,
2017,,,,,,,,16-17 ani,,
2017,,,,,,,,,With disabilities,
2018,,,,,,,,,,977
2018,Urban,,,,,,,,,613
2018,Rural,,,,,,,,,364
2018,,Girls,,,,,,,,437
2018,,Boys,,,,,,,,540
2018,,,0-2 years,,,,,,,77
2018,,,3-6 years,,,,,,,172
2018,,,7-15 years,,,,,,,420
2018,,,16-17 years,,,,,,,308
2018,,,,With disabilities,,,,,,23
2018,,,,,Total,,,,,7672
2018,,,,,,Urban,,,,2115
2018,,,,,,Rural,,,,5557
2018,,,,,,,Fete,,,3761
2018,,,,,,,Băieți,,,3911
2018,,,,,,,,0-2 ani,,839
2018,,,,,,,,3-6 ani,,1843
2018,,,,,,,,7-15 ani,,3797
2018,,,,,,,,16-17 ani,,1193
2018,,,,,,,,,With disabilities,154
